,Objective,Accuracy,Splits,Leaves,Depth,Iterations,Runtime
monk1-o,0.9,1.0,10.0,27.0,3.0,61.0,0.01200413703918457
monk1,0.94,1.0,6.0,7.0,4.0,146.0,0.045735836029052734
monk1-l,0.9299999999999999,1.0,7.0,8.0,5.0,117.0,0.019464969635009766
monk1-f,0.983,1.0,17.0,18.0,7.0,2125.0,0.34063172340393066
monk2-o,0.955,1.0,45.0,99.0,6.0,1198.0,0.10074687004089355
monk2,0.968,1.0,32.0,33.0,6.0,60611.0,13.63320016860962
monk2-f,0.933,1.0,67.0,68.0,9.0,28968.0,2.0037529468536377
monk3-o,0.987,1.0,13.0,26.0,4.0,157.0,0.07333707809448242
monk3,0.985,1.0,15.0,16.0,8.0,14807.0,4.047488212585449
monk3-f,0.983,1.0,17.0,18.0,7.0,3026.0,0.3594019412994385
tictactoe-o,0.7730375782881003,0.8580375782881002,17.0,35.0,5.0,3339.0,0.7915027141571045
tictactoe,0.8162212943632567,0.8862212943632568,14.0,15.0,6.0,260000.0,300.68999195098877
tictactoe-f,0.8507202505219207,0.9457202505219207,19.0,20.0,6.0,74627.0,18.34998393058777
careval-o,0.8125231481481481,0.8825231481481481,14.0,39.0,4.0,579.0,0.09356403350830078
careval,0.8526620370370371,0.9276620370370371,15.0,16.0,8.0,430000.0,301.8465461730957
careval-f,0.799212962962963,0.8692129629629629,14.0,15.0,8.0,108640.0,27.421183109283447
nursery-o,0.8221296296296297,0.8921296296296296,7.0,21.0,3.0,195.0,0.2661769390106201
nursery,0.8126851851851853,0.8726851851851852,6.0,7.0,6.0,130000.0,312.96222710609436
nursery-f,0.7725925925925925,0.8425925925925926,7.0,8.0,4.0,48063.0,29.42383098602295
mushroom-o,0.9752289512555391,0.9852289512555391,1.0,9.0,1.0,6.0,0.15752410888671875
mushroom,0.9552289512555391,0.9852289512555391,3.0,4.0,3.0,18000.0,342.4649238586426
mushroom-f,0.9452289512555391,0.9852289512555391,4.0,5.0,3.0,21000.0,308.9166338443756
krvskp,0.9008635794743429,0.940863579474343,4.0,5.0,4.0,40000.0,365.94582414627075
zoo-o,0.993,1.0,7.0,12.0,5.0,1456.0,0.7027368545532227
zoo,0.992,1.0,8.0,9.0,6.0,39199.0,35.55617904663086
zoo-f,0.992,1.0,8.0,9.0,7.0,4659.0,2.6222610473632812
lymph-o,0.8527027027027028,0.9527027027027027,10.0,41.0,4.0,16154.0,13.025844097137451
lymph,0.8286486486486486,0.8986486486486487,7.0,8.0,4.0,100000.0,380.3299357891083
lymph-f,0.8154054054054054,0.9054054054054054,9.0,10.0,5.0,160000.0,365.1415238380432
balance-o,0.7132,0.7632,10.0,41.0,3.0,178.0,0.03768610954284668
balance,0.7664,0.8064,8.0,9.0,8.0,590000.0,365.5166063308716
balance-f,0.6731999999999999,0.7232,10.0,11.0,10.0,676149.0,166.35023498535156
